"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
41281-00084,살구나무,어린이공원,경기도 고양시 덕양구 행신동 975,경기도 고양시 덕양구 행신동 975,37.61891704,126.8392334437,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00085,행신,근린공원,경기도 고양시 덕양구 행신동 978,경기도 고양시 덕양구 행신동 978,37.61919277,126.8366268,20395,농구장+체력단련시설,,,,,1992-12-28,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00018,간이,어린이공원,경기도 고양시 일산동구 백석로72번길 31-12,경기도 고양시 일산동구 백석동 1269,37.6461588228,126.7880045876,3341,체력단련시설,조합놀이대+그네+흔들놀이기구(시소+흔들말),화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41281-00086,회화나무,어린이공원,경기도 고양시 덕양구 충장로 118-30,경기도 고양시 덕양구 행신동 983,37.6202760198,126.8359194114,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41285-00061,개나리(일산2-4),어린이공원,경기도 고양시 일산동구 소개울2길 43,경기도 고양시 일산동구 중산동 1736,37.68382499,126.7901511725,1885,체력단련시설+운동장,조합놀이대+흔들놀이기구(흔들말),화장실,,,2002-01-05,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00012,검바골,어린이공원,경기도 고양시 일산동구 강송로74번길 53-7,경기도 고양시 일산동구 백석동 1156,37.6486330475,126.7911069026,3595,체력단련시설+운동장(농구대),조합놀이대+그네+흔들놀이기구(시소),화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41281-00087,느티나무(능곡),어린이공원,경기도 고양시 덕양구 충장로123번길 26,경기도 고양시 덕양구 행신동 1002,37.6253985737,126.8317576019,1500,,그네,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41285-00007,냉천,어린이공원,경기도 고양시 일산동구 일산로330번길 26-11,경기도 고양시 일산동구 마두동 837,37.6648700989,126.7858478092,4939,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00073,느티나무(풍동),어린이공원,경기도 고양시 일산동구 풍동 1259,경기도 고양시 일산동구 풍동 1259,37.6702825326,126.7984263892,5103,,조합놀이대+흔들놀이기구(흔들말)+회전놀이기구,,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00009,능안,어린이공원,경기도 고양시 일산동구 마두동 958,경기도 고양시 일산동구 마두동 958,37.6599012333,126.7833743160,4335,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00044,닥밭,어린이공원,경기도 고양시 일산동구 무궁화로93번길 32,경기도 고양시 일산동구 정발산동 698,37.6674940006,126.7725147,5793,체력단련시설+운동장(농구대),조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1991-06-29,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41281-00088,서정,근린공원,"경기도 고양시 덕양구 행신동1071,1071-1","경기도 고양시 덕양구 행신동 1071,1071-1",37.6196809556,126.8516403262,30203,다목적운동장+게이트볼장+인라인스케이트장+체력단련시설,,,,,2003-11-12,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00040,두루미,어린이공원,경기도 고양시 일산동구 일산로441번길 52-2,경기도 고양시 일산동구 정발산동 1159,37.6714292698,126.7761670883,4362,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말+시소)+회전놀이기구,화장실,,,1991-06-29,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41281-00089,행주산성,역사공원,경기도 고양시 덕양구 행주외동 500,경기도 고양시 덕양구 행주외동 500,37.60285689,126.8108984796,689348,,,,,,1971-09-27,경기도 고양시 행주산성관리사업소,031-8075-4640,2019-04-27
41285-00004,말머리,어린이공원,경기도 고양시 일산동구 마두동 790,경기도 고양시 일산동구 마두동 790,37.6530005643,126.7818489176,4000,,조합놀이대+그네+흔들놀이기구(시소)+회전놀이기구,화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00039,매봉재,어린이공원,경기도 고양시 일산동구 산두로261번길 23,경기도 고양시 일산동구 정발산동 1123,37.67520793,126.7778151081,3063,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말),화장실,,,1991-06-29,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41281-00090,은행나무,어린이공원,경기도 고양시 덕양구 화신로 233,경기도 고양시 덕양구 화정동 1127,37.6286549446,126.8357423953,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41285-00002,모범,어린이공원,경기도 고양시 일산동구 마두동 756,경기도 고양시 일산동구 마두동 756,37.6554708452,126.7858488552,4000,,조합놀이대+그네+흔들놀이기구(시소),화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00071,목련,어린이공원,경기도 고양시 일산동구 숲속마을2로 146,경기도 고양시 일산동구 풍동 1248,37.6728159999,126.7976815095,1623,체력단련시설,조합놀이대,화장실,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41281-00091,백양,근린공원,경기도 고양시 덕양구 성신로 55,경기도 고양시 덕양구 화정동 1131,37.62780403,126.8348017566,10663,농구장+체력단련시설,,,,,1992-12-28,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00042,밤가시,어린이공원,경기도 고양시 일산동구 정발산동 1299,경기도 고양시 일산동구 정발산동 1299,37.6690665105,126.7828805688,23274,"체력단련시설+운동장(축구골대,농구대)",조합놀이대+흔들놀이기구(흔들말+시소)+회전놀이기구+그네,화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00015,방기,어린이공원,경기도 고양시 일산동구 강송로113번길 36-14,경기도 고양시 일산동구 백석동 1206,37.6485172431,126.7848250858,3167,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말),화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41281-00092,소나무(능곡),어린이공원,경기도 고양시 덕양구 백양로 8,경기도 고양시 덕양구 화정동 1135,37.6265249437,126.8331234966,1500,,조합놀이대 등,,,,1992-12-28,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00093,화수,근린공원,경기도 고양시 덕양구 화정동 852,경기도 고양시 덕양구 화정동 852,37.6444779547,126.8378964,15267,농구장+체력단련시설,,,,,1991-12-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00013,백송,어린이공원,경기도 고양시 일산동구 백석동 1189,경기도 고양시 일산동구 백석동 1189,37.6510045147,126.7892352,5753,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말+시소)+회전놀이기구,화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00075,벚나무(풍동),어린이공원,경기도 고양시 일산동구 풍동 1269,경기도 고양시 일산동구 풍동 1269,37.66782817,126.797268,2021,체력단련시설,조합놀이대+그네,화장실,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00035,부촌,어린이공원,경기도 고양시 일산동구 장항동 879,경기도 고양시 일산동구 장항동 879,37.6470912143,126.7773241271,3604,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00041,사재,어린이공원,경기도 고양시 일산동구 산두로175번길 30,경기도 고양시 일산동구 정발산동 1241,37.6726075251,126.7818174891,5127,체력단련시설+운동장(농구대),조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1991-06-29,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00070,산수유,어린이공원,경기도 고양시 일산동구 풍동 1240-3,경기도 고양시 일산동구 풍동 1240-3,37.6734088544,126.8016509,1501,체력단련시설,조합놀이대,,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00008,설촌,어린이공원,경기도 고양시 일산동구 일산로286번길 46,경기도 고양시 일산동구 마두동 874,37.6620352223,126.7886258552,5316,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말+시소),,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41281-00094,화정 11(화수어린이),어린이공원,경기도 고양시 덕양구 화정동 853,경기도 고양시 덕양구 화정동 853,37.6448459241,126.8373176,3995,,조합놀이대 등,,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41285-00063,성아(일산2-2),근린공원,경기도 고양시 일산동구 중산동 1798,경기도 고양시 일산동구 중산동 1798,37.67821107,126.7893678721,13329,축구장+체력단련시설,,,,,2002-01-05,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00067,소공원(약산마을),소공원,경기도 고양시 일산동구 약산길 13,경기도 고양시 일산동구 중산동 25-130,37.6801577149,126.7917848683,695,,,,,,2015-06-30,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00076,소나무(풍동),어린이공원,경기도 고양시 일산동구 풍동 1287,경기도 고양시 일산동구 풍동 1287,37.66460357,126.7978211801,6601,체력단련시설+운동장,조합놀이대+그네+흔들놀이기구(흔들말+시소)+회전놀이기구,화장실,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41287-00008,성저,근린공원,경기도 고양시 일산서구 대화동 2104,경기도 고양시 일산서구 대화동 2104,37.6812482325,126.7554105041,50334,다목적운동장+체력단련시설,,,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00043,수정,어린이공원,경기도 고양시 일산동구 정발산동 1329,경기도 고양시 일산동구 정발산동 1329,37.6683626253,126.7786195083,3512,체력단련시설+운동장(농구대),조합놀이대+그네+흔들놀이기구(흔들말)+기타(울림통),화장실,,,1991-06-29,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00060,소개울(일산2-1),근린공원,경기도 고양시 일산동구 중산동 1716,경기도 고양시 일산동구 중산동 1716,37.6830653553,126.7824535899,50030,체력단련시설,,,,,2002-01-05,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00003,송포,근린공원,경기도 고양시 일산서구 대화동 1495-1,경기도 고양시 일산서구 대화동 1495-1,37.67021462,126.7300816,8968,족구장+체력단련시설,,,,,2001-06-22,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00032,수변공원,근린공원,경기도 고양시 일산동구 장항동 1097,경기도 고양시 일산동구 장항동 1097,37.65918907,126.7556322,81511,,,,,,2005-04-21,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00095,화정 10(달빛어린이),어린이공원,경기도 고양시 덕양구 어울림로 32,경기도 고양시 덕양구 화정동 857,37.6478475668,126.8343539751,5003,,조합놀이대 등,화장실,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41287-00056,숯고개,근린공원,경기도 고양시 일산서구 산현로 33,경기도 고양시 일산서구 탄현동 1580,37.6907100563,126.7649935332,10027,다목적운동장+체력단련시설,조합놀이대 등 3종 5개,,,,1997-01-21,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00031,식사어린이1(상상),어린이공원,경기도 고양시 일산동구 위시티로 18,경기도 고양시 일산동구 식사동 1588,37.6745623375,126.8075158827,2605,,조합놀이대+흔들놀이기구,,,,2005-08-24,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00024,식사어린이2(식사숲속),어린이공원,경기도 고양시 일산동구 식사동 304-5,경기도 고양시 일산동구 식사동 304-5,37.6826535530,126.8167374,2605,,기타+조합놀이대+오르는기구+그네+흔들놀이기구,,,,2005-08-24,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00026,식사어린이3(바람놀이),어린이공원,경기도 고양시 일산동구 식사동 690-1,경기도 고양시 일산동구 식사동 690-1,37.6815781701,126.8092355,2600,,조합놀이대+그네+흔들놀이기구+미끄럼틀,,,,2005-08-24,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00025,식사어린이4(과학),어린이공원,경기도 고양시 일산동구 식사동 341-1,경기도 고양시 일산동구 식사동 341-1,37.6803245255,126.8153149,2600,,흔들놀이기구+기타,,,,2005-08-24,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00027,식사어린이5(올림푸스놀이),어린이공원,경기도 고양시 일산동구 식사동 164-8,경기도 고양시 일산동구 식사동 164-8,37.6830074975,126.8224274,5210,,조합놀이대+건너는기구+흔들놀이기구+미끄럼틀,화장실,,,2005-08-24,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00029,식사어린이6(저현),어린이공원,경기도 고양시 일산동구 식사동 산102,경기도 고양시 일산동구 식사동 산102,37.6718020059,126.8118225,2600,,조합놀이대+그네+흔들놀이기구+미끄럼틀,,,,2005-08-24,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00072,식골,근린공원,경기도 고양시 일산동구 숲속마을로 108,경기도 고양시 일산동구 풍동 1257,37.6702204550,126.7951722473,51111,실내배드민턴장+게이트볼장+체력단련시설,,주차장+화장실,,,2001-05-03,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00010,안골,어린이공원,경기도 고양시 일산동구 강송로225번길 51,경기도 고양시 일산동구 마두동 992,37.6574720368,126.7784664860,5495,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말+시소)+오르는기구(정글짐),,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00022,식사(은행마을공원),근린공원,경기도 고양시 일산동구 식사동 1475,경기도 고양시 일산동구 식사동 1475,37.6703037567,126.8063409,10000,체력단련시설,,화장실,,,2001-06-22,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00023,식사근린1(어침이),근린공원,경기도 고양시 일산동구 식사동 산157-7,경기도 고양시 일산동구 식사동 산157-7,37.6852744305,126.8117427890,25004,실내다목적체육관+체력단련시설,그네+시소+조합놀이대+흔들말,화장실,,,2005-08-24,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00066,어린이공원(약산마을),어린이공원,경기도 고양시 일산동구 약산길 28-4,경기도 고양시 일산동구 중산동 25-11,37.6813167347,126.7930150304,6145,,,,,,2015-06-30,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00019,용천,어린이공원,경기도 고양시 일산동구 백석동 1348,경기도 고양시 일산동구 백석동 1348,37.6422862437,126.7833166084,4255,체력단련시설+운동장(농구대),조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00074,이팝나무,어린이공원,경기도 고양시 일산동구 풍동 1262,경기도 고양시 일산동구 풍동 1262,37.67010435,126.8006536014,2012,체력단련시설 없음,조합놀이대+그네,,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00028,식사근린2(식사중앙),근린공원,경기도 고양시 일산동구 식사동 산122-18,경기도 고양시 일산동구 식사동 산122-18,37.67810037,126.8141527,31586,체력단련시설,그네+시소+조합놀이대+흔들말,화장실,,,2005-08-24,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00045,장항,어린이공원,경기도 고양시 일산동구 정발산동 812,경기도 고양시 일산동구 정발산동 812,37.6663767983,126.7755246628,2326,,조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1991-06-29,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00030,식사근린3(방아고개),근린공원,경기도 고양시 일산동구 식사동 산105,경기도 고양시 일산동구 식사동 산105,37.674521,126.8121759301,15220,야외배드민턴장+체력단련시설,,화장실,,,2005-08-24,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00048,중산 1(중산마루),어린이공원,경기도 고양시 일산동구 중산동 1555-1,경기도 고양시 일산동구 중산동 1555-1,37.6974625856,126.7806215430,1600,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말),,,,1992-02-28,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00049,중산 2(중산안골),어린이공원,경기도 고양시 일산동구 중산동 1556-1,경기도 고양시 일산동구 중산동 1556-1,37.6950135059,126.779311,1600,체력단련시설,조합놀이대+흔들놀이기구(흔들말+시소),,,,1992-02-28,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00047,중산 3(중산테미어린이),어린이공원,경기도 고양시 일산동구 중산동 1554-3,경기도 고양시 일산동구 중산동 1554-3,37.6933041980,126.7825232677,1600,체력단련시설,조합놀이대+흔들놀이기구(흔들말+시소),,,,1992-02-28,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00054,중산 4(중산오름),어린이공원,경기도 고양시 일산동구 중산동 1575-1,경기도 고양시 일산동구 중산동 1575-1,37.6930327423,126.7827654,1600,,조합놀이대+그네+흔들놀이기구(흔들말),화장실,,,1992-02-28,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00052,중산 5(중산안학),어린이공원,경기도 고양시 일산동구 중산동 1573-2,경기도 고양시 일산동구 중산동 1573-2,37.6916078466,126.7816180496,1600,,조합놀이대+그네+흔들놀이기구(흔들말+시소)+회전놀이기구,,,,1992-02-28,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00051,중산 6(중산더부골),어린이공원,경기도 고양시 일산동구 중산동 1566-1,경기도 고양시 일산동구 중산동 1566-1,37.6887280359,126.7789272810,1600,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말+시소),,,,1992-02-28,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00053,중산 7(중산어린이),어린이공원,경기도 고양시 일산동구 중산동 1574-1,경기도 고양시 일산동구 중산동 1574-1,37.6890080509,126.7818311612,1600,체력단련시설,조합놀이대+흔들놀이기구(흔들말+시소)+회전놀이기구,,,,1992-02-28,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00055,중산 8(중산삼애),어린이공원,경기도 고양시 일산동구 중산동 1575-5,경기도 고양시 일산동구 중산동 1575-5,37.6879348511,126.7828258,1600,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말),,,,1992-02-28,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00056,중산 9(중산추만),어린이공원,경기도 고양시 일산동구 중산로157번길 12,경기도 고양시 일산동구 중산동 1600,37.6857660463,126.7802280362,1963,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1992-02-28,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00059,안곡습지,수변공원,경기도 고양시 일산동구 중산동 1712,경기도 고양시 일산동구 중산동 1712,37.6849463077,126.7841166332,77829,,,화장실,,,2002-01-05,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00014,안산공원,문화공원,경기도 고양시 일산동구 백석동 1195,경기도 고양시 일산동구 백석동 1195,37.6467634463,126.7840125,8437,체력단련시설,,화장실,,,2018-10-19,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00077,참나무(풍동),어린이공원,경기도 고양시 일산동구 풍동 1299,경기도 고양시 일산동구 풍동 1299,37.6659478147,126.8006283,1630,체력단련시설,조합놀이대,화장실,,,2000-10-18,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00011,청천,어린이공원,경기도 고양시 일산동구 백석동 1137,경기도 고양시 일산동구 백석동 1137,37.6527284093,126.794239,6299,체력단련시설+운동장(농구대),조합놀이대+그네+흔들놀이기구(흔들말+시소),화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00068,파란,소공원,경기도 고양시 일산동구 중산동 중산동 1853,경기도 고양시 일산동구 중산동 1853,37.67932122,126.7904558553,1007,,,,,,2015-06-30,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00079,풍동,어린이공원,경기도 고양시 일산동구 풍동 800,경기도 고양시 일산동구 풍동 800,37.6630627290,126.795706,1659,체력단련시설,,,,,2001-12-31,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00020,알미,근린공원,경기도 고양시 일산동구 백석동 1350,경기도 고양시 일산동구 백석동 1350,37.6459964212,126.7831267142,15507,체력단련시설,,화장실,야외음악당,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00096,달빛,근린공원,경기도 고양시 덕양구 화정동 859,경기도 고양시 덕양구 화정동 859,37.6453069167,126.8310394,16844,다목적운동장+체력단련시설,,,,,1991-12-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00064,하늘별무리(일산2-7),어린이공원,경기도 고양시 일산동구 중산동 1803,경기도 고양시 일산동구 중산동 1803,37.6766595621,126.7864298,1531,체력단련시설,조합놀이대+흔들놀이기구(흔들말+시소),,,,2002-01-05,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00057,하늘자전거(일산2-6),어린이공원,경기도 고양시 일산동구 중산동 1685,경기도 고양시 일산동구 중산동 1685,37.67951849,126.7801211720,1521,체력단련시설+운동장(농구대),조합놀이대+흔들놀이기구(흔들말),,,,2002-01-05,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00058,하늘장미(일산2-5),어린이공원,경기도 고양시 일산동구 중산동 1702,경기도 고양시 일산동구 중산동 1702,37.68051807,126.7846273,1500,체력단련시설,조합놀이대+흔들놀이기구(흔들말+시소),화장실,,,2002-01-05,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41285-00021,향나무,어린이공원,경기도 고양시 일산동구 호수로430번길 29-14,경기도 고양시 일산동구 백석동 1437,37.6445730749,126.7801183089,3576,체력단련시설,조합놀이대+그네+흔들놀이기구(흔들말),화장실,,,1990-03-31,경기도 고양시 일산동구청,031-8075-6263,2019-04-27
41281-00097,꽃물,근린공원,경기도 고양시 덕양구 화중로151번길 56,경기도 고양시 덕양구 화정동 867,37.6410509507,126.8295740855,15472,다목적운동장+체력단련시설,,,,,1991-12-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00098,화정 12(진달래),어린이공원,경기도 고양시 덕양구 화수로 40,경기도 고양시 덕양구 화정동 869,37.6441354401,126.8342987663,6374,,조합놀이대 등,화장실,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00099,은빛,근린공원,경기도 고양시 덕양구 은빛로77번길 14,경기도 고양시 덕양구 화정동 872,37.6381383196,126.8367593346,41089,다목적운동장+파크골프장+게이트볼장+체력단련시설,,,,,1991-12-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00100,화정 13(개나리),어린이공원,경기도 고양시 덕양구 화중로138번길 41,경기도 고양시 덕양구 화정동 890,37.63927225,126.8347402239,2417,,조합놀이대 등,화장실,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41281-00101,화정 14(용정),어린이공원,경기도 고양시 덕양구 은빛로29번길 31-17,경기도 고양시 덕양구 화정동 921,37.6395388498,126.8306516300,4274,,조합놀이대 등,화장실,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41285-00033,일산문화공원,근린공원,경기도 고양시 일산동구 장항동 845,경기도 고양시 일산동구 장항동 845,37.65840856,126.7706280026,59048,,,화장실,,,2008-10-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00102,화정 15(민들레),어린이공원,경기도 고양시 덕양구 화정동 937,경기도 고양시 덕양구 화정동 937,37.6366146466,126.8275116038,5991,,조합놀이대 등,,,,1990-11-04,경기도 고양시 덕양구청,031-8075-5265,2019-04-27
41287-00009,가와지,어린이공원,경기도 고양시 일산서구 일산로695번길 47,경기도 고양시 일산서구 대화동 2113,37.6798904617,126.7557898,1994,조합놀이대+그네+흔들놀이대+철봉,,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00015,강서,어린이공원,경기도 고양시 일산서구 호수로838번길 55-7,경기도 고양시 일산서구 대화동 2265,37.6721963397,126.7507290033,3217,조합놀이대+정글짐+시소+흔들놀이대,화장실,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00044,강재,어린이공원,경기도 고양시 일산서구 강성로 126,경기도 고양시 일산서구 주엽동 52,37.67254864,126.7633732241,4000,조합놀이대+그네+시소+흔들놀이대,화장실,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00014,장촌,근린공원,경기도 고양시 일산서구 중앙로 1525,경기도 고양시 일산서구 대화동 2241,37.6740215604,126.7515072999,16574,체력단련시설,,,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00045,궁골,어린이공원,경기도 고양시 일산서구 주엽동 55,경기도 고양시 일산서구 주엽동 55,37.6698420304,126.7686318,6901,조합놀이대+정글짐+그네+흔들놀이대,화장실,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00013,김서,어린이공원,경기도 고양시 일산서구 대화동 2235,경기도 고양시 일산서구 대화동 2235,37.6736370681,126.7460472317,3002,조합놀이대,,,,,1991-06-29,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41285-00006,정발산,근린공원,경기도 고양시 일산동구 마두동 819,경기도 고양시 일산동구 마두동 819,37.6632492986,126.7805194077,644650,축구장+실내배드민턴장+배구장+씨름장+농구장+체력단련장,,,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00026,덕이어린이1(샘물),어린이공원,경기도 고양시 일산서구 하이파크로 113-1,경기도 고양시 일산서구 덕이동 1525,37.7037187597,126.7520114699,2877,조합놀이대+흔들놀이대,화장실,,,,2006-01-31,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00032,덕이어린이2(아지랑이),어린이공원,경기도 고양시 일산서구 덕이동 산142-4,경기도 고양시 일산서구 덕이동 산142-4,37.6994138052,126.7524692090,2281,조합놀이대+흔들놀이대,,,,,2006-01-31,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41287-00039,주엽,근린공원,경기도 고양시 일산서구 주엽동 118,경기도 고양시 일산서구 주엽동 118,37.66760303,126.7595167018,19614,체력단련시설,,,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41287-00031,덕이어린이3(잎새),어린이공원,경기도 고양시 일산서구 덕이동 582-2,경기도 고양시 일산서구 덕이동 582-2,37.69862649,126.7524285,3059,조합놀이대+흔들놀이대,,,,,2006-01-31,경기도 고양시 일산서구청,031-8075-7263,2019-04-27
41285-00050,중산체육공원,체육공원,경기도 고양시 일산동구 중산로 217,경기도 고양시 일산동구 중산동 1565,37.69157053,126.7798981789,82114,체력단련시설,,주차장+화장실,,,1995-12-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41285-00046,중산태미(중산4),근린공원,경기도 고양시 일산동구 중산동 1553,경기도 고양시 일산동구 중산동 1553,37.69821033,126.7830000689,13411,체력단련시설,,,,,1992-02-28,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
41281-00103,별빛,근린공원,경기도 고양시 덕양구 화정동 943,경기도 고양시 덕양구 화정동 943,37.6325747793,126.8253704586,17694,테니스장+게이트볼장+체력단련시설,,,,,1991-12-31,경기도 고양시 푸른도시사업소,031-8075-4320,2019-04-27
