의료기관명,의료기관주소(도로명),의료기관전화번호
경희길한의원,"경기도 고양시 덕양구 백양로 85, 208호 (화정동, 동양트레벨II)",031-814-3555
능곡의원,경기도 고양시 덕양구 지도로 105 (토당동),031-972-1112
새생명한의원,"경기도 고양시 덕양구 화정로 53, 4층 (화정동, 새롬프라자)",031-968-8788
나은치과의원,"경기도 고양시 덕양구 중앙로 542, 315호,316호 (행신동, 세신훼미리타운)",031-975-2818
연세사랑꽃소아과의원,"경기도 고양시 덕양구 토당로 52, 301호 (토당동, 능곡역프라자)",031 979-9717
이움내과의원,"경기도 고양시 덕양구 화신로 273, 3층 (화정동, 명지프라자)",031 979-0875
내유가정의학과의원,경기도 고양시 덕양구 유산길 35 (내유동),031 964-5033
화정우리한의원,"경기도 고양시 덕양구 화신로 295, 203호 (화정동, 건영상가)",031-819-1075
화정 한마음치과의원,"경기도 고양시 덕양구 화신로 273, 5층 (화정동, 명지프라자)",031-979-2895
원당청한의원,경기도 고양시 덕양구 마상로154번길 68 (성사동),031-966-8272
메디에스의원,"경기도 고양시 덕양구 화신로 273, 401호 (화정동, 명지프라자)",031 938-7300
광동한의원,"경기도 고양시 덕양구 호국로 778-28, 3층 (성사동, 성산빌딩)",031-966-1010
유니온아이치과의원,"경기도 고양시 덕양구 화정로 53, 304호 (화정동, 새롬프라자)",031-964-4293
석승엽정형외과의원,"경기도 고양시 덕양구 읍내로 10, 2층,5층 (고양동, 현대빌딩)",031 969-8275
조은재활의학과의원,"경기도 고양시 덕양구 호국로790번길 17, 402호 (성사동, 영프라자)",031 967-7585
장경한의원,"경기도 고양시 덕양구 화정로 65-1, 4층 (화정동, 우리프라자)",031-968-0052
시카고치과의원,"경기도 고양시 덕양구 충장로 134, 406호 (행신동, 아이프라자)",031-973-2879
신명한의원,"경기도 고양시 덕양구 중앙로558번길 16-6, 3층 4호,5호 (행신동, 신일빌딩)",031-972-1075
진명한의원,"경기도 고양시 덕양구 화중로104번길 24, 207호 (화정동, 송화빌딩)",031-968-0033
현대아산내과의원,"경기도 고양시 덕양구 혜음로 45, 2층 (고양동, 고양메디컬빌딩)",031 969-1142
경희명인한의원,"경기도 고양시 덕양구 호국로 808, 2층 (성사동, 코리아타운빌딩)",031-968-7702
서울푸른치과의원,"경기도 고양시 덕양구 푸른마을로 6, 307호 (고양동, 고양 e PLAZA)",031-962-7582
연세더블유치과의원,"경기도 고양시 덕양구 중앙로 559, 302~306호 (행신동, 그랑프리빌딩)",031-979-2282
호랑이한의원,"경기도 고양시 덕양구 지도로 36, 103호,104호 (토당동, 연일빌딩)",031-971-9995
이내과의원,"경기도 고양시 덕양구 호국로790번길 17, 408호 (성사동, 영프라자)",031 963-7582
하늘마취통증의학과의원,"경기도 고양시 덕양구 충장로 140, 403~406호 (행신동, 썬프라자)",031 979-1600
예창한의원,"경기도 고양시 덕양구 권율대로 894, 5층 (신원동, 새한일프라자)",02-381-0033
한종학내과의원,"경기도 고양시 덕양구 혜음로 30, 2층 (고양동, 삼성아파트상가)",031 963-7919
능곡예인의원,"경기도 고양시 덕양구 지도로103번길 34, 2층 (토당동)",031 971-5464
원당미성한의원,"경기도 고양시 덕양구 호국로789번길 7, 203호 (주교동, 원당빌딩)",031-966-7533
행신오케이치과의원,"경기도 고양시 덕양구 충경로 38, 404호,405호 (행신동, 진일프라자)",031-978-2804
다옴한의원,"경기도 고양시 덕양구 충경로 87, 2층 31호 (행신동, 대명상가)",031-971-2713
행신연세내과의원,"경기도 고양시 덕양구 충경로 52, 302호 (행신동, 남정씨티프라자)",031 970-7999
화정부부경희한의원,"경기도 고양시 덕양구 화신로272번길 58, 415,710일부호 (화정동, 영프라자빌딩)",031-971-0213
나눔가정의학과의원,경기도 고양시 덕양구 행신로143번길 72-1 (행신동),031-938-9962
태평한의원,"경기도 고양시 덕양구 통일로 769-2, 2층 (관산동, 소망빌딩)",031-962-3399
안소아청소년과 의원,"경기도 고양시 덕양구 통일로 769-2, 3층 (관산동, 소망빌딩)",031-963-5118
성현내과의원,"경기도 고양시 덕양구 화중로 60, 303호,304호 (화정동, 화정빌딩)",031 973-5566-7
햇빛아이한의원,"경기도 고양시 덕양구 충장로152번길 47, 205호 (행신동, 햇빛마을20단지상가)",031-972-8880
서울한의원,"경기도 고양시 덕양구 호국로790번길 17, 401호 (성사동, 영프라자)",031-965-1277
연세민혜원산부인과의원,"경기도 고양시 덕양구 화중로 76, 501호 (화정동, 대감빌딩)",031 972-4222
우리안과의원,"경기도 고양시 덕양구 호국로790번길 17, 403호 (성사동, 영프라자)",031 965-1331
미래한의원,"경기도 고양시 덕양구 화신로260번길 58, 403호 (화정동, 비전프라자)",031-971-4911
화정서울안과의원,"경기도 고양시 덕양구 화신로272번길 67, 5층 (화정동, 장군빌딩)",031 973-0075
관산한의원,경기도 고양시 덕양구 통일로 757 (관산동),031-964-5067
천수한의원,경기도 고양시 덕양구 삼송로193번길 12 (삼송동),02-381-1075
마음공감정신건강의학과의원,"경기도 고양시 덕양구 화정로 53, 303호 (화정동, 새롬프라자)",031 967-8567
영풍한의원,"경기도 고양시 덕양구 혜음로 30, 2층 (고양동, 삼성아파트상가)",031-962-1075
임마누엘피부과의원,"경기도 고양시 덕양구 중앙로 554, 4층 405,406호 (행신동, 희성프라자)",031 973-7711
토당한의원,"경기도 고양시 덕양구 행당로 2, 302호 (토당동, 가남프라자)",031-973-3001
임스내과의원,"경기도 고양시 덕양구 통일로 760, 301호 (관산동, 더퍼스트프라임상가)",031 969-3858
능곡서울치과의원,"경기도 고양시 덕양구 행당로 2, 301호 (토당동, 가남프라자)",031-972-2875
프라임치과의원,"경기도 고양시 덕양구 호국로790번길 10, 리스쇼핑 2층 (성사동)",031-965-2377
제민한의원,"경기도 고양시 덕양구 중앙로 554, 407호 (행신동, 희성프라자)",031-970-1078
하얀나라피부과의원,"경기도 고양시 덕양구 화중로 76, 5층 (화정동, 대감빌딩)",031 972-4333
세란재활의학과의원,"경기도 고양시 덕양구 은빛로 41, 3층 301호 (화정동, 대경프라자)",031 966-7582
예빛안과의원,"경기도 고양시 덕양구 화신로272번길 58, 410,414호 (화정동, 영프라자빌딩)",031 979-6388
키즈스마일치과의원,"경기도 고양시 덕양구 중앙로 554, 307,308호 (행신동, 희성프라자)",031-973-1275
원당경희한의원,"경기도 고양시 덕양구 고양대로1384번길 7-5, 302호,303호 (성사동, 서강프라자)",031-965-0177
밝은빛안과의원,"경기도 고양시 덕양구 중앙로 554, 302,303호 (행신동, 희성프라자)",031 970-1181
행남한의원,"경기도 고양시 덕양구 마상로154번길 2, 2층 (성사동, 윤빌딩)",031-966-2328
삼성메디의원,"경기도 고양시 덕양구 고양대로1384번길 7-5, 403,404,405호 (성사동, 서강프라자)",031 966-8275
석정한의원,"경기도 고양시 덕양구 호국로 797, 202호 일부호, 203호호 (주교동, 대동피렌체)",031-962-9885
채영한의원,"경기도 고양시 덕양구 충경로 48, 3층 (행신동, 진일프라자2차)",031-972-8242
조은이비인후과의원,"경기도 고양시 덕양구 혜음로 38, 201,202호 (고양동)",031 964-7592
열린의원,"경기도 고양시 덕양구 통일로 773, 3층 (관산동)",031 963-3223
동양당한의원,"경기도 고양시 덕양구 토당로 115, 2층 (토당동, 금호프라자)",031-970-1075
화정중앙의원,"경기도 고양시 덕양구 화중로 32-31, 2층 (화정동, 효원빌딩)",031 974-4747
조은치과의원,"경기도 고양시 덕양구 지도로 36, 3층 (토당동, 연일빌딩)",031-979-7528
연세가족사랑의원,"경기도 고양시 덕양구 백양로 71, 202호 (화정동, 삼라마이다스빌)",031 819-7575
송치과의원,"경기도 고양시 덕양구 충장로 14, 302호 (행신동, 글로리아프라자)",031-971-7528
유니온치과의원,"경기도 고양시 덕양구 화정로 53, 406호 (화정동, 새롬프라자)",031-969-4293
미항외과의원,"경기도 고양시 덕양구 화정로 53, 301호 (화정동, 새롬프라자)",031 964-5001
유승주이비인후과의원,"경기도 고양시 덕양구 호국로 778-28, 4층 (성사동, 성산빌딩)",031 965-5017
참빛한의원,"경기도 고양시 덕양구 화신로 102, 햇빛마을24단지 202, 205호 (행신동)",031-938-7575
필립비뇨기과의원,"경기도 고양시 덕양구 화정로 53-1, 304호 (화정동, 글로리아빌딩)",031 965-3775
미래치과의원,"경기도 고양시 덕양구 중앙로 439, 4층 (행신동, 서정프라자)",031-811-2875
경희당한의원,"경기도 고양시 덕양구 화중로 76, 405호 (화정동, 대감빌딩)",031-978-8575
영재소아청소년과의원,"경기도 고양시 덕양구 화중로 76, 404호 (화정동, 대감빌딩)",031 973-8575
항사랑외과의원,"경기도 고양시 덕양구 화중로 76, 503호, 504호 (화정동, 대감빌딩)",031 972-7500
행신산부인과의원,"경기도 고양시 덕양구 충경로 48, 304호 (행신동, 진일프라자2차)",031 970-3005
다인한의원,경기도 고양시 덕양구 화중로 154 (화정동),031-965-9494
화정연세내과의원,"경기도 고양시 덕양구 화정로 47, 315호 (화정동, 동원텔)",031 965-0216
연세신경외과의원,"경기도 고양시 덕양구 화정로 47, 3층 314호 (화정동, 동원텔)",031 965-0216
능곡치과의원,"경기도 고양시 덕양구 지도로 100, 302호 (토당동, 능곡파워프라자)",031-971-2233
오아이치과의원,"경기도 고양시 덕양구 중앙로558번길 13, 능곡 삼성프라자 3층 (행신동)",031-971-2828
선정형외과의원,"경기도 고양시 덕양구 행당로 35 (행신동, 재원빌딩)",031 970-2223
송동호정신건강의학과의원,"경기도 고양시 덕양구 화신로272번길 58, 406호 (화정동, 영프라자빌딩)",031 971-5551
뉴욕모아치과의원,"경기도 고양시 덕양구 무원로 65, 301호 (행신동, 무원마을10단지 서광상가)",031-970-2875
세브란스봄치과의원,"경기도 고양시 덕양구 충장로 140, 305호 (행신동, 썬프라자)",031-971-2275
우리소아청소년과의원,"경기도 고양시 덕양구 용현로 27, 2층 203호 (행신동, 행신프라자)",031 972-1352
김은실한재희소아과의원,"경기도 고양시 덕양구 충장로152번길 47 (행신동, 햇빛마을20단지상가)",031 979-2238
동문연세소아과의원,"경기도 고양시 덕양구 화정로 47, 3층 303호 (화정동, 동원텔)",031 812-3651
한국정형외과의원,"경기도 고양시 덕양구 충경로 38, 3층 301,302,305,306호 (행신동, 진일프라자)",031 938-7582
한사랑가정의학과의원,"경기도 고양시 덕양구 원당로125번길 5, 201호 (주교동, 용산빌딩)",031 969-6961
혜민한의원,"경기도 고양시 덕양구 화중로 126, 2층 (화정동, 찬우물상가)",031-969-8575
제일항도외과의원,"경기도 고양시 덕양구 충장로 134, 3층 308호 (행신동, 아이프라자)",031 979-7586
우리가정의학과의원,"경기도 고양시 덕양구 화신로260번길 57 (화정동, 요진타워빌딩 304호)",031 938-3911
행신치과의원,"경기도 고양시 덕양구 충장로 118-27, 2층 (행신동, 구암프라자)",031-978-5737
코모키이비인후과의원,"경기도 고양시 덕양구 화정로 47, 308호 (화정동, 동원텔)",031 969-7582
윤제우한의원,"경기도 고양시 덕양구 화중로 100, 207호 (화정동, 비젼타워21)",031-964-8275
가온경희한의원,"경기도 고양시 덕양구 화신로272번길 67, 4층 (화정동, 장군빌딩)",031-979-0123
고려한의원,"경기도 고양시 덕양구 무원로 65, 205호 (행신동, 서광상가)",031-972-0601
함께하는치과의원,"경기도 고양시 덕양구 화신로272번길 67, 4층 (화정동, 장군빌딩)",031-979-2870
예지한의원,"경기도 고양시 덕양구 화정로 47, 305호 (화정동, 동원텔)",031-968-6001
열린정형외과의원,"경기도 고양시 덕양구 화중로 54, 서일빌딩 2층 (화정동)",031-973-7575
햇살정신과의원,"경기도 고양시 덕양구 충장로 134, 7층 (행신동, 아이프라자)",031 978-6688
성모정형외과의원,"경기도 고양시 덕양구 충장로 134, 3층 307호 (행신동, 아이프라자)",031 970-5500
능곡명치과의원,"경기도 고양시 덕양구 토당로 115, 224,225,226호 (토당동, 금호프라자)",031-970-2828
화정서울치과의원,"경기도 고양시 덕양구 화중로 60, 3층 305호 (화정동, 화정빌딩)",031-979-2000
고양연세소아과의원,경기도 고양시 덕양구 혜음로 29-1 (고양동),031 964-7534
중앙내과의원,경기도 고양시 덕양구 호국로789번길 6 (주교동),031 964-7588
제일한의원,경기도 고양시 덕양구 행신로 153 (행신동),031-973-6300
리더스치과의원,"경기도 고양시 덕양구 혜음로 34, 2층 (고양동)",031-963-2828
광해당한의원,"경기도 고양시 덕양구 충경로 38, 307호 (행신동, 진일프라자)",031-972-2591
강재활의학과의원,"경기도 고양시 덕양구 화신로272번길 58, 407호 (화정동, 영프라자빌딩)",031 978-2292
보람의원,경기도 고양시 덕양구 삼송로 183 (삼송동),02-381-3527
호산정형외과의원,"경기도 고양시 덕양구 지도로 27 (토당동, 대원빌딩)",031 973-0126
연세김치과의원,"경기도 고양시 덕양구 중앙로558번길 16-16, 3층 4호 (행신동, 능곡프라자)",031-979-9725
애담산부인과소아청소년과의원,"경기도 고양시 덕양구 행신로 268, 애담메디칼타워 2~3층 (행신동)",031-938-3001
산호한의원,"경기도 고양시 덕양구 중앙로 548, 404,405호 (행신동, 현대프라자)",031-973-7001
홍내과의원,"경기도 고양시 덕양구 중앙로 548, 306호 (행신동, 현대프라자)",031 979-7000
예도치과의원,"경기도 고양시 덕양구 중앙로 548, 403호 (행신동, 현대프라자)",031-973-3373
조양현산부인과의원,"경기도 고양시 덕양구 화신로272번길 58, 408호 (화정동, 영프라자)",031 971-5501
한신치과의원,"경기도 고양시 덕양구 화신로272번길 58, 401호 (화정동, 영프라자)",031-979-8275
장치과의원,"경기도 고양시 덕양구 충장로152번길 47, 201호 (행신동, 상가동)",031-979-2833
한빛내과의원,"경기도 고양시 덕양구 중앙로 550, 302, 401호 (행신동, 삼일프라자)",031 979-7533
세브란스박치과의원,"경기도 고양시 덕양구 화정로 47, 3층 (화정동, 동원텔빌딩)",031-967-7244
치아사랑치과의원,"경기도 고양시 덕양구 중앙로 550, 501호 (행신동, 삼일프라자)",031-978-2275
부부한의원,"경기도 고양시 덕양구 고양대로 1359-24, 1,3층 (성사동)",031-964-5021
바롬의원,"경기도 고양시 덕양구 중앙로 550, 503호 (행신동, 삼일빌딩)",031 978-7267
능곡연세의원,"경기도 고양시 덕양구 충장로152번길 59 (행신동, 능곡중앙교육센타)",031 979-4384
화정부부치과의원,"경기도 고양시 덕양구 백양로 47, 303호 (화정동, 상록빌딩)",031-970-7528
서울이비인후과의원,"경기도 고양시 덕양구 화신로272번길 67, 601호 (화정동, 장군빌딩)",031 978-9275
아름다운피부과의원,"경기도 고양시 덕양구 화신로272번길 58, 영프라자빌딩 404호 (화정동)",031 979-6061
신한안과의원,"경기도 고양시 덕양구 화신로260번길 57 (화정동, 요진타워)",031 979-2863
평화한의원,"경기도 고양시 덕양구 혜음로 45, 3층 (고양동, 메디칼센타)",031-963-7006
삼대손한의원,"경기도 고양시 덕양구 화중로 98, 307호 (화정동, 광성프라자)",031-968-3301
행신연세가정의학과의원,경기도 고양시 덕양구 무원로54번길 62 (행신동),031 979-7200
강혜승산부인과의원,"경기도 고양시 덕양구 화신로260번길 57 (화정동, 요진타워 307,308호)",031 972-2255
우정치과의원,"경기도 고양시 덕양구 화정로 69, 205호 (화정동, 꿈에그린)",031-962-6282
로덴하나치과의원,"경기도 고양시 덕양구 화신로260번길 57, 3층 (화정동, 요진타워빌딩)",031-978-7528
가람수치과의원,"경기도 고양시 덕양구 중앙로558번길 16-6 (행신동, 신일빌딩)",031-979-2875
동보한의원,경기도 고양시 덕양구 중앙로 478 (행신동),031-979-5858
장.윤치과의원,경기도 고양시 덕양구 토당로 54 (토당동),031-979-2700
동의한의원,"경기도 고양시 덕양구 화신로 278, 303호 (화정동, 세일빌딩)",031-973-1010
이승희한건수의원,"경기도 고양시 덕양구 화중로 220, 201,202,203호 (화정동, 달빛마을 부영상가)",031 968-0971
화정연세치과의원,"경기도 고양시 덕양구 화중로 220 (화정동, 우영2빌딩)",031-967-3692
혜성치과의원,경기도 고양시 덕양구 화신로 278 (화정동),031-972-8275
유내과의원,"경기도 고양시 덕양구 화정로 53, 405호 (화정동, 새롬프라자 5차)",031 966-5040
서울중앙의원,"경기도 고양시 덕양구 화중로 220, 202호 (화정동, 진덕상가)",031 967-4327
성동치과의원,경기도 고양시 덕양구 통일로 797 (관산동),031-963-5643
황성진성형외과의원,"경기도 고양시 덕양구 화정로 53, 새롬프라자 503호 (화정동)",031 964-0064
화정성모안과의원,"경기도 고양시 덕양구 화정로 53, 4층 (화정동, 새롬프라자)",031 967-8520
필치과의원,"경기도 고양시 덕양구 화중로104번길 28, 905호 (화정동, 시네마플러스)",031-963-2818
청아치과의원,"경기도 고양시 덕양구 화중로 217, 203호 (화정동, 달빛마을1단지 진덕상가 )",031-966-5206
이종수이비인후과의원,"경기도 고양시 덕양구 화정로 53, 402호 (화정동, 새롬프라자5차)",031 965-5550
한병상이비인후과의원,"경기도 고양시 덕양구 용현로 27, 201,202호 (행신동)",031 974-2794
서울신경외과의원,"경기도 고양시 덕양구 혜음로 34, 3층 (고양동, 경덕빌딩)",031 962-9875
윤내과의원,"경기도 고양시 덕양구 행신로 151, 3층 (행신동, 양일빌딩)",031 974-2273
연세가정의원,경기도 고양시 덕양구 은빛로29번길 28 (화정동),031 965-4268
세호치과의원,경기도 고양시 덕양구 행신로 151 (행신동),031-974-9723
세란가정의원,"경기도 고양시 덕양구 충경로 96, 301호 (행신동, 소만빌딩)",031 972-0543
코스메디의원,"경기도 고양시 덕양구 무원로 63, 306호 (행신동, 서광라이프상가)",031 972-6525
조재식내과의원,경기도 고양시 덕양구 화신로 278 (화정동),031 972-7575
예인치과의원,"경기도 고양시 덕양구 화중로 177, 205호 (화정동, 은빛마을미도파상가)",031-966-2241
원당영상의학과의원,경기도 고양시 덕양구 호국로 774 (성사동),031 966-6334
두리치과의원,"경기도 고양시 덕양구 호국로 798 (성사동, 삼성홈타워)",031-966-1124
아이엘소아청소년과의원,"경기도 고양시 덕양구 화중로 50, 반석프라자 3층 302호 (화정동)",031 971-3020
곽성연치과의원,"경기도 고양시 덕양구 혜음로 29-1, 3층 (고양동)",031-964-2875
백치과의원,경기도 고양시 덕양구 행신로 266 (행신동),031-973-2875
정상득이비인후과의원,"경기도 고양시 덕양구 무원로 65, 상가동 1층 111, 112, 113호 (행신동, 무원마을10단지)",031 970-7768
서울부부치과의원,경기도 고양시 덕양구 고양대로 1387 (성사동),031-966-2471
조중근정신과의원,"경기도 고양시 덕양구 호국로 792 (성사동, 천일빌딩)",031 966-9500
권안과의원,"경기도 고양시 덕양구 무원로 63, 305호 (행신동, 무원마을상가)",031 970-3003
행신의원,경기도 고양시 덕양구 중앙로 466 (행신동),031 970-6438
신원당웰치과의원,"경기도 고양시 덕양구 고양대로1384번길 7-5, 401호 (성사동, 서강프라자)",031-967-0470
한솔치과의원,경기도 고양시 덕양구 혜음로 44 (고양동),031-962-2892
유지호비뇨기과의원,"경기도 고양시 덕양구 호국로790번길 17, 407호 (성사동, 영프라자)",031 965-5557
혜인치과의원,"경기도 고양시 덕양구 통일로 773 (관산동, 2F)",031-963-2433
연세신일의원,"경기도 고양시 덕양구 호국로 788, 2층 (성사동)",031 966-0206
서울연합의원,경기도 고양시 덕양구 통일로 784 (관산동),031 962-3280
능곡성모의원,"경기도 고양시 덕양구 행당로 2, 가남프라자 201,202호 (토당동)",031 974-8268
조명득의원,경기도 고양시 덕양구 용현로53번길 49 (행신동),031 970-3838
세란내과의원,경기도 고양시 덕양구 호국로790번길 42-2 (성사동),031 963-2683
김상철치과의원,"경기도 고양시 덕양구 용현로 27, 204호 (행신동, 행신프라자)",031-972-0479
서울내과의원,경기도 고양시 덕양구 지도로 47 (토당동),031 972-6300
삼보한의원,"경기도 고양시 덕양구 호국로742번길 53, 2층 (성사동, 삼보상가)",031-967-0120
중앙의원,경기도 고양시 덕양구 통일로 795 (관산동),031 964-6111
원당한의원,경기도 고양시 덕양구 호국로790번길 10 (성사동),031-962-5170
감초한의원,"경기도 고양시 덕양구 중앙로 559, 3층 (행신동, 그랑프리빌딩)",031-970-0284
우일치과의원,"경기도 고양시 덕양구 원당로125번길 21, 2층 (주교동, 우일상가)",031-965-7649
성동한의원,경기도 고양시 덕양구 통일로 793 (관산동),031-964-0888
최병문피부과의원,경기도 고양시 덕양구 호국로 787 (주교동),031 965-5800
경희한의원,"경기도 고양시 덕양구 화중로 220, 206호 (화정동, 달빛마을 라이프상가)",031-967-2723
안기동치과의원,"경기도 고양시 덕양구 통일로 775, 4층 (관산동)",031-963-2876
라인의원,경기도 고양시 덕양구 중앙로 639 (토당동),031 974-9700
박내과의원,"경기도 고양시 덕양구 토당로 115, 212호 (토당동, 금호프라자)",031 972-2111
권형건치과의원,"경기도 고양시 덕양구 호국로790번길 17, 405호 (성사동, 영프라자)",031-965-2875
신생당한의원,경기도 고양시 덕양구 고골길 117-6 (관산동),031-962-8276
홍은기치과의원,"경기도 고양시 덕양구 화중로 126, 302호 (화정동)",031-974-9221
서울안과의원,경기도 고양시 덕양구 호국로 792 (성사동),031 964-6424
능곡한의원,경기도 고양시 덕양구 능곡로 3 (토당동),031-974-3212
서이비인후과의원,"경기도 고양시 덕양구 호국로790번길 17, 407호 (성사동, 영프라자)",031 962-0920
서재석치과의원,경기도 고양시 덕양구 호국로 792 (성사동),031-964-4408
심욱섭소아과의원,"경기도 고양시 덕양구 마상로154번길 68, 2층 (성사동)",031 963-1823
김치과의원,"경기도 고양시 덕양구 호국로 787, 402호 (주교동)",031-963-1280
활기찬병원,"경기도 고양시 덕양구 화중로 50, 4,5,6층 (화정동)",
라엘마음병원,"경기도 고양시 덕양구 중앙로 628, 예일프라자 7층 6층(607,608)호 (화정동)",031-978-5454
의료법인상록의료재단화정병원,"경기도 고양시 덕양구 서정마을로 5, 301,4,5,6층 (행신동, 행신프라자)",031-979-7572
새찬요양병원,경기도 고양시 덕양구 토당로67번길 2 (토당동),031-979-2119
효그린요양병원,"경기도 고양시 덕양구 중앙로 478, 3,4층 (행신동, 미원프라자)",031-979-0808
강북성심요양병원,경기도 고양시 덕양구 중앙로557번길 7-14 (행신동),031 978 1122
의료법인에덴재단행복한요양병원,경기도 고양시 덕양구 내유길 146-19 (내유동),031 963 5600
로하스클로버요양병원,경기도 고양시 덕양구  호국로  804 (성사동),031-967-5050
의료법인한영의료재단삼성요양병원,경기도 고양시 덕양구 지도로 100 (토당동),031 972 5678
서울메이치과병원,"경기도 고양시 덕양구 화신로260번길 66, 7층 (화정동, 한빛하이죤)",031-973-6004
늘푸른병원,경기도 고양시 덕양구 원당로 139 (주교동),031 967 9966
의료법인자인의료재단자인메디병원,"경기도 고양시 덕양구 중앙로 555, 지하1,1-10층 (행신동)",031-930-3114
린치과병원,"경기도 고양시 덕양구 화중로 76, 201호 (화정동, 대감빌딩)",031-974-2828
원당연세병원,경기도 고양시 덕양구 고양대로 1359 (성사동),
고양정신병원,경기도 고양시 덕양구 통일로1102번길 46 (내유동),031 969 0885
국군고양병원,경기도 고양시 덕양구 혜음로 215 (벽제동),031-963-6657
의료법인명지의료재단명지병원,경기도 고양시 덕양구 화수로14번길 55 (화정동),031 810 5114
백년한의원,"경기도 고양시 일산동구 위시티2로11번길 45, 2층 206-1호 (식사동, 위시티일산자이 주상복합)",031-965-1095
일산남다른마취통증의학과의원,"경기도 고양시 일산동구 중앙로 1195, 로스텔 202~204호 (장항동)",031-901-8275
일산마두정형외과의원,"경기도 고양시 일산동구 중앙로 1182, 올림픽스포츠센터 2층 202호 (마두동)",031-907-1119
스카이비뇨의학과의원,"경기도 고양시 일산동구 숲속마을1로 73, 신성메디칼 타운 601호 (풍동)",031-831-7582
이재한의원,"경기도 고양시 일산동구 강송로 119, 용신코아 3층 302호 (백석동)",031-903-0099
마음미소정신건강의학과의원,"경기도 고양시 일산동구 정발산로 38, 장항동이스턴시티 207호 (장항동)",031-932-7711
미래마취통증의학과의원,"경기도 고양시 일산동구 고봉로 266, 5층 (중산동)",031-994-3250
열린부부한의원,"경기도 고양시 일산동구 중산로 244, 고은프라자 3층 301호 (중산동)",031-977-8770
정발산튼튼척의원,"경기도 고양시 일산동구 정발산로 38, 장항동이스턴시티 208호 일부, 408호 (장항동)",031-902-4758
이시은한의원,"경기도 고양시 일산동구 일산로 240, 백마프라자 3층 (마두동)",031-901-8577
백석정형외과의원,"경기도 고양시 일산동구 중앙로 1054, 3층 (백석동)",031-906-1010
예쁨주의쁨성형외과의원,"경기도 고양시 일산동구 정발산로 31-21, 맥클린21 5층 (장항동)",031-915-3225
기특한한의원,"경기도 고양시 일산동구 중앙로 1048, 일산르메이에르프라자 5층 519,520호 (백석동)",031-932-2600
성모이십오의원,"경기도 고양시 일산동구 중앙로1275번길 60-14, 고일프라자 303~305호 (장항동)",031-904-3365
허영호치과의원,"경기도 고양시 일산동구 장백로 206, 이지로빌딩 9층 (장항동)",031-932-1199
메이드유의원,"경기도 고양시 일산동구 정발산로 43-20, 센트럴프라자 410,411호 (장항동)",031-904-9555
상비한의원,"경기도 고양시 일산동구 일산로 442, 신일프라자 2층 (정발산동)",031-914-3365
더봄의원,"경기도 고양시 일산동구 정발산로 27, 진원프라자 501,502 호 (장항동)",031-906-7688
샤인빔의원,"경기도 고양시 일산동구 정발산로 31-9, 레이크프라자 505~508호 (장항동)",1644-3978
최병진한의원,"경기도 고양시 일산동구 중앙로 1182, 올림픽스포츠센터 2층 205 호 (마두동)",
메디서울이비인후과의원,"경기도 고양시 일산동구 중앙로 1036, 베스트 고양터미널 터미널동 3층 304~305호 (백석동)",031-936-7575
로앤산부인과의원,"경기도 고양시 일산동구 정발산로 38, 장항동이스턴시티 2층 208호 (장항동)",031-905-2222
오킴스오성형외과의원,"경기도 고양시 일산동구 중앙로1261번길 55, 5 층 (장항동)",031-906-8222
기쁜하루치과의원,"경기도 고양시 일산동구 중앙로 1059, 2층 일부호 (백석동, ISD빌딩)",031-908-2875
밝은미소정신건강의학과의원,"경기도 고양시 일산동구 중앙로 1202, 4층 일부호 (마두동, 우리은행일산지점)",031-902-0068
에스의원,"경기도 고양시 일산동구 숲속마을1로 71, 샘터17 6층 604~605호 (풍동)",031-924-6177
바른이바른얼굴 치과교정과치과의원,"경기도 고양시 일산동구 정발산로 31-17, 402호 (장항동, 킹타운빌딩)",031-909-0015
이(e)-하나로치과의원,"경기도 고양시 일산동구 공릉천로 30, 2층 (사리현동, 경하빌딩)",031-968-2875
바른시선한의원,"경기도 고양시 일산동구 중앙로 1036, 베스트 고양터미널 F6-01(일부호),F3-01(일부호)호 (백석동)",031-818-1575
위시티 성모윌내과의원,"경기도 고양시 일산동구 위시티2로11번길 31, 305-1, 306호 (식사동, 스타타워)",031-963-8808
쿨맨남성의원,"경기도 고양시 일산동구 일산로 46, 406호 (백석동, 남정씨티프라자)",031-932-7932
연세모벨르의원,"경기도 고양시 일산동구 정발산로 47, 302호 (장항동, 웅신아트)",031-905-0580
베일러선치과의원,"경기도 고양시 일산동구 일산로 86, (재)한국중독연구재단 6층 (백석동)",031-932-2777
화이트드림치과의원,"경기도 고양시 일산동구 정발산로 24, 302~304호 (장항동, 웨스턴돔2)",031-811-2879
닥터쁘띠의원,"경기도 고양시 일산동구 중앙로1261번길 61, 401호 (장항동, 메트로골드)",031-994-1753~5
숲속부부한의원,"경기도 고양시 일산동구 숲속마을1로 77, 401호 (풍동, 그린메디피아)",031-932-1075
포시즌한의원,"경기도 고양시 일산동구 숲속마을1로 71, 503호 (풍동, 샘터17)",031-909-1070
한경숙내과의원,"경기도 고양시 일산동구 중앙로 1036, 3층 일부호 (백석동, 베스트 고양터미널)",031-811-2017
민트산부인과의원,"경기도 고양시 일산동구 정발산로 47, 303호 (장항동, 웅신아트)",031-932-5525
