"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"일산서구청 소회의실",일산서구 자치행정과,회의실,연중무휴,09:00,21:00,09:00,18:00,N,,,,,20,,,방문+전화,,경기도 고양시 일산서구 중앙로 1542(대화동),경기도 고양시 일산서구 대화동 2199번지,경기도 고양시청,일산서구 자치행정과,031-8075-7611,http://www.goyang.go.kr/kr/facilities/main.do,37.6753135651,126.750659,2019-01-01
"대화동행정복지센터 2층문화교실 회의실",대화동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,32,,,기타,,경기도 고양시 일산서구 일산로 668(대화동),경기도 고양시 일산서구 대화동 2035번지,경기도 고양시청,대화동행정복지센터,031-8075-7884,http://www.goyang.go.kr/kr/facilities/main.do,37.6829312,126.7551095,2019-01-01
"화정어린이도서관 어울림터",화정어린이도서관,다목적실,1+3번째 월요일,09:00,18:00,09:00,18:00,N,,,,,100,,,방문+전화,,경기도 고양시 덕양구 화신로 323,경기도 고양시 덕양구 화정동 945,경기도 고양시청,화정어린이도서관,031-8075-9292,http://www.goyang.go.kr/kr/facilities/main.do,37.6328328088,126.8263028998,2019-01-01
"효자동행정복지센터 회의실",효자동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,,,방문+전화,,경기도 고양시 덕양구 흥도로454번길 44(성사동),경기도 고양시 덕양구 성사동 34-1번지,경기도 고양시청,효자동행정복지센터,031-8075-5750,http://www.goyang.go.kr/kr/facilities/main.do,37.6449303,126.8543303,2019-01-01
"흥도동행정복지센터 별관 대회의실",흥도동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,40,,,방문+전화,,경기도 고양시 덕양구 흥도로454번길 44(성사동),경기도 고양시 덕양구 성사동 34-1번지,경기도 고양시청,흥도동행정복지센터,031-8075-5623,http://www.goyang.go.kr/kr/facilities/main.do,37.6449303,126.8543303,2019-01-01
"풍동도서관 교양교실",풍동도서관,회의실,1+3번째 월요일,09:00,18:00,09:00,18:00,N,,,,,20,,,방문+전화,,경기도 고양시 일산동구 숲속마을로 108(풍산동),경기도 고양시 일산동구 풍동 1257번지,경기도 고양시청,풍동도서관,031-8075-9144,http://www.goyang.go.kr/kr/facilities/main.do,37.6702204550,126.7951722473,2019-01-01
"풍동도서관 시청각실",풍동도서관,다목적실,1+3번째 월요일,09:00,18:00,09:00,18:00,N,,,,,60,,,방문+전화,,경기도 고양시 덕양구 토당로 83(토당동),경기도 고양시 덕양구 토당동 335-4번지,경기도 고양시청,풍동도서관,031-8075-9144,http://www.goyang.go.kr/kr/facilities/main.do,37.6226723,126.818099,2019-01-01
"능곡동행정복지센터 다목적회의실",능곡동행정복지센터,다목적실,주말,09:00,18:00,00:00,00:00,N,,,,,100,,,방문+전화,,경기도 고양시 일산동구 장백로 72(백석동),경기도 고양시 일산동구 백석동 1339번지,경기도 고양시청,능곡동행정복지센터,031-8075-5830,http://www.goyang.go.kr/kr/facilities/main.do,37.6439053,126.7854955506,2019-01-01
"백석2동행정복지센터 4층 문화강좌실",백석2동행정복지센터,기타,주말,09:00,18:00,00:00,00:00,N,,,,,20,,,방문+전화,,경기도 고양시 일산동구 장백로 72(백석동),경기도 고양시 일산동구 백석동 1339번지,경기도 고양시청,백석2동행정복지센터,031-8075-6843,http://www.goyang.go.kr/kr/facilities/main.do,37.6439053,126.7854955506,2019-01-01
"백석2동행정복지센터  5층 동아리실",백석2동행정복지센터,기타,주말,09:00,18:00,00:00,00:00,N,,,,,15,,,방문+전화,,경기도 고양시 일산동구 일산로 118(백석동),경기도 고양시 일산동구 백석동 1231번지,경기도 고양시청,백석2동행정복지센터,031-8075-6843,http://www.goyang.go.kr/kr/facilities/main.do,37.6472175342,126.7936137,2019-01-01
"백석도서관 대회의실",백석도서관,회의실,1+3번째 월요일,09:00,18:00,09:00,18:00,N,,,,,50,,,방문+전화,,경기도 고양시 일산동구 일산로 118(백석동),경기도 고양시 일산동구 백석동 1231번지,경기도 고양시청,백석도서관,031-8075-9082,http://www.goyang.go.kr/kr/facilities/main.do,37.6472175342,126.7936137,2019-01-01
"백석도서관 시청각실",백석도서관,다목적실,1+3번째 월요일,09:00,18:00,09:00,18:00,N,,,,,140,,,방문+전화,,경기도 고양시 일산서구 일산로 689(대화동),경기도 고양시 일산서구 대화동 2103번지,경기도 고양시청,백석도서관,031-8075-9082,http://www.goyang.go.kr/kr/facilities/main.do,37.6810218483,126.7539363,2019-01-01
"대화도서관 문화교실1",대화도서관,회의실,1+3번째 월요일,09:00,18:00,09:00,18:00,N,,,,,20,,,방문+전화,,경기도 고양시 일산서구 일산로 689(대화동),경기도 고양시 일산서구 대화동 2103번지,경기도 고양시청,대화도서관,031-8075-9123,http://www.goyang.go.kr/kr/facilities/main.do,37.6810218483,126.7539363,2019-01-01
"대화도서관 문화교실2",대화도서관,회의실,1+3번째 월요일,09:00,18:00,09:00,18:00,N,,,,,20,,,방문+전화,,경기도 고양시 덕양구 덕수천1로 73(삼송동),경기도 고양시 덕양구 삼송동 321번지,경기도 고양시청,대화도서관,031-8075-9123,http://www.goyang.go.kr/kr/facilities/main.do,37.6488851,126.8848538918,2019-01-01
"삼송도서관 교양교실",삼송도서관,회의실,1+3번째 월요일,09:00,18:00,09:00,18:00,N,,,,,35,,,방문+전화,,경기도 고양시 덕양구 덕수천1로 73(삼송동),경기도 고양시 덕양구 삼송동 321번지,경기도 고양시청,삼송도서관,031-8075-9355,http://www.goyang.go.kr/kr/facilities/main.do,37.6488851,126.8848538918,2019-01-01
"행신2동행정복지센터 대회의실",행신2동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,40,,,방문+전화,http://www.goyang.go.kr/com/file/getImage.do?fileSeq=168217&fileNum=1,경기도 고양시 덕양구 충경로 30(행신동),경기도 고양시 덕양구 행신동 717번지,경기도 고양시청,행신2동행정복지센터,031-8075-5927,http://www.goyang.go.kr/kr/facilities/main.do,37.615133,126.8330054,2019-01-01
"행신2동행정복지센터 소강의실",행신2동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,16,,,방문+전화,,경기도 고양시 덕양구 충경로 30(행신동),경기도 고양시 덕양구 행신동 717번지,경기도 고양시청,행신2동행정복지센터,031-8075-5927,http://www.goyang.go.kr/kr/facilities/main.do,37.615133,126.8330054,2019-01-01
"행신3동행정복지센터 다목적실",행신3동주민센터,다목적실,주말,09:00,18:00,00:00,00:00,N,,,,,50,,,방문+전화,,경기도 고양시 덕양구 중앙로558번길 78(행신동),경기도 고양시 덕양구 행신동 933번지,경기도 고양시청,행신3동행정복지센터,031-8075-5949,http://www.goyang.go.kr/kr/facilities/main.do,37.6263362,126.838537,2019-01-01
"행신3동행정복지센터 회의실",행신3동주민센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,,,방문+전화,,경기도 고양시 덕양구 중앙로558번길 78(행신동),경기도 고양시 덕양구 행신동 933번지,경기도 고양시청,행신3동행정복지센터,031-8075-5949,http://www.goyang.go.kr/kr/facilities/main.do,37.6263362,126.838537,2019-01-01
"행신도서관 시청각실",행신도서관,다목적실,1+3번째 월요일,09:00,18:00,09:00,18:00,N,,,,,60,,,방문+전화,,경기도 고양시 덕양구 행당로33번길 25-6(행신동),경기도 고양시 덕양구 행신동 634-87번지,경기도 고양시청,행신도서관,031-8075-9235,http://www.goyang.go.kr/kr/facilities/main.do,37.6207105,126.828315,2019-01-01
"행신어린이도서관 어울림터",행신어린이도서관,다목적실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,100,,,방문+전화,,경기도 고양시 덕양구 소원로181번길 42 (행신동),경기도 고양시 덕양구 행신동 804번지,경기도 고양시청,행신어린이도서관,031-8075-9273,http://www.goyang.go.kr/kr/facilities/main.do,37.614724,126.8434431,2019-01-01
"행주동행정복지센터 회의실",행주동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,,,방문+전화,,경기도 고양시 덕양구 지도로 14번길 11(토당동),경기도 고양시 덕양구 토당동 885-9번지,경기도 고양시청,행주동행정복지센터,031-8075-5888,http://www.goyang.go.kr/kr/facilities/main.do,37.6184066,126.8252988540,2019-01-01
"지축동운동장",효자동운동장,축구장,연중무휴,09:00,18:00,00:00,00:00,N,,,,,1000,,,방문+전화,,경기도 고양시 덕양구 지축동 802,경기도 고양시 덕양구 지축동 802,경기도 고양시청,산업위생과,031-8075-5443,http://www.goyang.go.kr/kr/facilities/main.do,37.6548822295,126.9384647979,2019-01-01
"창릉동운동장",창릉동운동장,다목적경기장,연중무휴,09:00,18:00,00:00,00:00,N,,,,,1000,,,방문+전화,,경기도 고양시 덕양구 동산동 57,경기도 고양시 덕양구 동산동 57,경기도 고양시청,산업위생과,031-8075-5443,http://www.goyang.go.kr/kr/facilities/main.do,37.64183102,126.893822,2019-01-01
"일산동구청 2층 다목적실",일산동구 자치행정과,회의실,연중무휴,09:00,21:00,09:00,18:00,N,,,,,60,,,방문+전화,,경기도 고양시 일산동구 중앙로 1256(마두동),경기도 고양시 일산동구 마두동 815번지,경기도 고양시청,일산동구 자치행정과,031-8075-6030,http://www.goyang.go.kr/kr/facilities/main.do,37.6588817367,126.7749135,2019-01-01
"일산동구청 갤러리 ''''''''''''''''''''''''''''''''가온''''''''''''''''''''''''''''''''",일산동구 산업위생과,전시실,주말,09:00,18:00,00:00,00:00,N,,,,,100,,,방문+전화,,경기도 고양시 일산동구 중앙로 1256(마두동),경기도 고양시 일산동구 마두동 815번지,경기도 고양시청,일산동구 산업위생과,031-8075-6448,http://www.goyang.go.kr/kr/facilities/main.do,37.6588817367,126.7749135,2019-01-01
"일산서구청 대회의실",일산서구 자치행정과,회의실,연중무휴,09:00,21:00,09:00,18:00,N,,,,,100,,,방문+전화,,경기도 고양시 일산서구 중앙로 1542(대화동),경기도 고양시 일산서구 대화동 2199번지,경기도 고양시청,일산서구 자치행정과,031-8075-7611,http://www.goyang.go.kr/kr/facilities/main.do,37.6753135651,126.750659,2019-01-01
"행신어린이도서관 지킴이방",행신어린이도서관,회의실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,6,,,방문+전화,,경기도 고양시 덕양구 소원로181번길 42 (행신동),경기도 고양시 덕양구 행신동 804번지,경기도 고양시청,행신어린이도서관,031-8075-9273,http://www.goyang.go.kr/kr/facilities/main.do,37.614724,126.8434431,2019-01-01
"대화도서관 시청각실",대화도서관,다목적실,1+3번째 월요일,09:00,18:00,09:00,18:00,N,,,,,79,,,방문+전화,,경기도 고양시 일산서구 일산로 689(대화동),경기도 고양시 일산서구 대화동 2103번지,경기도 고양시청,대화도서관,031-8075-9123,http://www.goyang.go.kr/kr/facilities/main.do,37.6810218483,126.7539363,2019-01-01
"풍산동행정복지센터 2층 회의실",풍산동행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,,,방문+전화,,경기도 고양시 일산동구 숲속마을1로 36(풍동),경기도 고양시 일산동구 풍동 349-16번지,경기도 고양시청,풍산동행정복지센터,031-8075-6797,http://www.goyang.go.kr/kr/facilities/main.do,37.664075,126.7998502,2019-01-01
"풍산동행정복지센터 지층강의실",풍산동행정복지센터,다목적실,주말,09:00,18:00,00:00,00:00,N,,,,,15,,,방문+전화,,경기도 고양시 일산동구 숲속마을1로 36(풍동),경기도 고양시 일산동구 풍동 349-16번지,경기도 고양시청,풍산동행정복지센터,031-8075-6797,http://www.goyang.go.kr/kr/facilities/main.do,37.664075,126.7998502,2019-01-01
"한뫼도서관 교양교실1",한뫼도서관,회의실,2+4번째 월요일,09:00,18:00,09:00,18:00,N,,,,,40,,,방문+전화,,경기도 고양시 일산서구 탄중로 284(일산동),경기도 고양시 일산서구 일산동 1558번지,경기도 고양시청,한뫼도서관,031-8075-9101,http://www.goyang.go.kr/kr/facilities/main.do,37.6935574263,126.7762593235,2019-01-01
